title,company_name,url,remote,first_seen_at,last_seen_at,lang,juniority_score,source,external_ids_0,external_ids_1,external_ids_2,external_ids_3,external_ids_4,external_ids_5,external_ids_6,external_ids_7,external_ids_8,external_ids_9,locations_0_name,locations_1_name,locations_2_name,locations_3_name,locations_4_name,locations_5_name,locations_6_name,locations_7_name,locations_8_name,locations_9_name,locations_10_name,locations_11_name,locations_12_name,locations_13_name,locations_14_name,locations_15_name,locations_16_name,locations_17_name,locations_18_name,locations_19_name,locations_0_region,locations_1_region,locations_2_region,locations_3_region,locations_4_region,locations_5_region,locations_6_region,locations_7_region,locations_8_region,locations_9_region,locations_10_region,locations_11_region,locations_12_region,locations_13_region,locations_14_region,locations_15_region,locations_16_region,locations_17_region,locations_18_region,locations_19_region,employment_types_0,employment_types_1,employment_types_2,employment_types_3,employment_types_4,employment_types_5,employment_types_6,employment_types_7,employment_types_8,employment_types_9
Intern as Frontend (Full Stack) Engineer - part time,Oracle,https://cz.linkedin.com/jobs/view/intern-as-frontend-full-stack-engineer-part-time-at-oracle-3828154329,False,2024-02-13 00:00:00,,en,,,linkedin#3828154329,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,PART_TIME,,,,,,,,,
".NET/C# Developer (Flexi pracovní doba, Home Office)",Descartes Systems (Czech republic) s.r.o.,https://beta.www.jobs.cz/rpd/2000130545/,False,2024-02-13 00:00:00,,cs,,,jobscz#2000130545,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Backend Java Developer – REMOTE/Prague,České Radiokomunikace a.s.,https://beta.www.jobs.cz/rpd/2000144187/,False,2024-02-13 00:00:00,,cs,,,jobscz#2000144187,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
"Vývojář aplikací - Windows, Android - Automotive, Avionics","DevCom, spol. s r.o.",https://beta.www.jobs.cz/rpd/2000130837/,False,2024-02-13 00:00:00,,cs,,,jobscz#2000130837,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
"Software Engineer, Launch Graduate Program 2024 – Prague, Czech Republic",Mastercard,https://cz.linkedin.com/jobs/view/software-engineer-launch-graduate-program-2024-%E2%80%93-prague-czech-republic-at-mastercard-3733846225,False,2024-02-13 00:00:00,,en,,,linkedin#3733846225,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
TESTER/KA SOFTWARU,"COOL CREDIT, s.r.o.",https://beta.www.jobs.cz/rpd/2000138108/,False,2024-02-13 00:00:00,,cs,,,jobscz#2000138108,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,PART_TIME,,,,,,,,,
Tester co má COALe!,coalsoft s.r.o.,https://beta.www.jobs.cz/rpd/2000138230/,False,2024-02-13 00:00:00,,cs,,,jobscz#2000138230,,,,,,,,,,Letohrad,,,,,,,,,,,,,,,,,,,,Pardubice,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Python vývojář,ERA a.s.,https://beta.www.jobs.cz/rpd/2000145678/,False,2024-02-13 00:00:00,,cs,,,jobscz#2000145678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
System Test Engineer - DRS,Valeo,https://cz.linkedin.com/jobs/view/system-test-engineer-drs-at-valeo-3638664522,False,2024-02-13 00:00:00,,en,,,linkedin#3638664522,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
"PHP , Symfony Developer - s Kuráží, i Junior","Bénéficielle, s.r.o.",https://beta.www.jobs.cz/rpd/2000130345/,False,2024-02-13 00:00:00,,cs,,,jobscz#2000130345,,,,,,,,,,Přestavlky,,,,,,,,,,,,,,,,,,,,Plzeň,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
